Items in order,stemmed_text
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x AAC Signature Crisper Fries,x aac signatur crisper fri
"2 x Salted Crisper Fries, 2 x AAC Grilled Chicken Burger",x salt crisper fri x aac grill chicken burger
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone angara grill chicken x bone kabuli grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grill chicken x bone angara grill chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Peri Peri Tender",x fri chicken kabuli tender x fri chicken peri peri tender
"1 x Angara Grilled Paneer (8 pcs), 1 x Bone in Jamaican Grilled Chicken",x angara grill paneer pc x bone jamaican grill chicken
"2 x AAC Grilled Paneer Burger, 1 x Peri Peri Fries, 1 x AAC Grilled Chicken Burger",x aac grill paneer burger x peri peri fri x aac grill chicken burger
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fri chicken angara tender x anim fri
"1 x Fried Chicken Classic Tender, 1 x Bone in Jamaican Grilled Chicken",x fri chicken classic tender x bone jamaican grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grill chicken x bone jamaican grill chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone angara grill chicken x bone smoki bbq grill chicken
2 x Grilled Chicken Peri Peri Tangdi,x grill chicken peri peri tangdi
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender",x anim fri x fri chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Angara Rice, 1 x Bone in Kabuli Grilled Chicken",x bone smoki bbq grill chicken x angara rice x bone kabuli grill chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender",x grill chicken jamaican tender x grill chicken angara tender
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grill chicken x bone angara grill chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Peri Peri Tender",x fri chicken ghostbust tender x fri chicken peri peri tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Animal Fries",x grill chicken peri peri tender x anim fri
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x fri chicken peri peri tender x fri chicken classic tender
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoki bbq grill chicken
"1 x AAC Fried Paneer Burger, 1 x Animal Fries",x aac fri paneer burger x anim fri
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoki bbq grill chicken x bone kabuli grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grill chicken x fri chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grill chicken x anim fri
2 x Bone in Angara Grilled Chicken,x bone angara grill chicken
"1 x Garlic Aioli, 1 x AAC Special Slaw, 1 x Bone in Peri Peri Grilled Chicken",x garlic aioli x aac special slaw x bone peri peri grill chicken
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x fri chicken angara tender x fri chicken peri peri tender
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Animal Fries,x anim fri
1 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grill chicken x bone angara grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x anim fri x bone jamaican grill chicken
1 x Grilled Chicken Peri Peri Tender,x grill chicken peri peri tender
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
1 x Fried Chicken Angara Tender,x fri chicken angara tender
1 x Animal Fries,x anim fri
"1 x Grilled Chicken Peri Peri Tender, 1 x Angara Grilled Paneer (8 pcs)",x grill chicken peri peri tender x angara grill paneer pc
1 x Fried Chicken Angara Tender,x fri chicken angara tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Angara Grilled Paneer (8 pcs), 1 x Grilled Chicken Angara Tender, 1 x Bone in Jamaican Grilled Chicken, 1 x Angara Rice",x angara grill paneer pc x grill chicken angara tender x bone jamaican grill chicken x angara rice
"1 x Fried Chicken Angara Tender, 1 x Onion Rings, 1 x Fried Chicken Peri Peri Tender",x fri chicken angara tender x onion ring x fri chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Smoky BBQ Sauce, 1 x Indian Honey Mustard sauce, 1 x Fried Chicken Classic Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Onion Rings",x bone jamaican grill chicken x smoki bbq sauc x indian honey mustard sauc x fri chicken classic tender x garlic aioli x fri chicken classic tender x onion ring
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Mayonnaise",x grill chicken smoki bbq tender x grill chicken jamaican tender x mayonnais
"1 x Fried Chicken Peri Peri Tender, 1 x Harisa Mayo",x fri chicken peri peri tender x harisa mayo
"2 x Bone in Smoky Bbq Grilled Chicken, 2 x Fried Chicken Peri Peri Tender",x bone smoki bbq grill chicken x fri chicken peri peri tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grill chicken x bone jamaican grill chicken
"2 x AAC Grilled Chicken Burger, 2 x Salted Crisper Fries",x aac grill chicken burger x salt crisper fri
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tender",x bone jamaican grill chicken x grill chicken angara tender
2 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Kabuli Tender",x fri chicken angara tender x fri chicken kabuli tender
"1 x Fried Chicken Peri Peri Tender, 1 x Animal Fries",x fri chicken peri peri tender x anim fri
2 x Bone in Angara Grilled Chicken,x bone angara grill chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Grilled Chicken Peri Peri Tangdi",x grill chicken jamaican tangdi x grill chicken peri peri tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender",x grill chicken jamaican tender x fri chicken angara tender
2 x Grilled Chicken Jamaican Tender,x grill chicken jamaican tender
"2 x Bone in Smoky Bbq Grilled Chicken, 2 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice",x bone smoki bbq grill chicken x bone jamaican grill chicken quarter angara rice
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grill chicken x bone angara grill chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tangdi",x bone kabuli grill chicken x grill chicken smoki bbq tangdi
1 x Grilled Chicken Jamaican Tangdi,x grill chicken jamaican tangdi
2 x AAC Signature Crisper Fries,x aac signatur crisper fri
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fri chicken angara tender x anim fri
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone kabuli grill chicken x bone smoki bbq grill chicken
2 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender, 2 x Fried Chicken Peri Peri Tender",x grill chicken jamaican tender x grill chicken smoki bbq tender x fri chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone peri peri grill chicken x bone kabuli grill chicken
"1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Bone in Angara Grilled Chicken",x bone jamaican grill chicken quarter angara rice x bone angara grill chicken
"1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Bone in Angara Grilled Chicken, 1 x Grilled Chicken Angara Tenders + Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x bone jamaican grill chicken quarter angara rice x bone angara grill chicken x grill chicken angara tender salt fri x bone jamaican grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Angara Rice, 1 x Bone in Smoky Bbq Grilled Chicken",x angara rice x bone smoki bbq grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Grilled Chicken Peri Peri Tangdi,x grill chicken peri peri tangdi
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fri chicken peri peri tender x grill chicken jamaican tender
1 x Grilled Chicken Tangdi Jamaican + Salted Krispers,x grill chicken tangdi jamaican salt krisper
1 x Animal Fries,x anim fri
"1 x Grilled Chicken Jamaican Tender, 1 x Tipsy Tiger Ginger Ale, 1 x Grilled Chicken Angara Tender, 1 x Salted Fries, 1 x Grilled Chicken Peri Peri Tender, 1 x Tipsy Tiger Fresh Lime Soda",x grill chicken jamaican tender x tipsi tiger ginger ale x grill chicken angara tender x salt fri x grill chicken peri peri tender x tipsi tiger fresh lime soda
1 x Grilled Chicken Angara Tender,x grill chicken angara tender
1 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grill chicken x bone peri peri grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Animal Fries,x anim fri
1 x Grilled Chicken Jamaican Tender,x grill chicken jamaican tender
1 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x grill chicken peri peri tender x bone jamaican grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grill chicken x bone angara grill chicken
"1 x AAC Signature Crisper Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signatur crisper fri x bone jamaican grill chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Onion Bombs, 1 x AAC Signature Fries",x bone kabuli grill chicken x onion bomb x aac signatur fri
"1 x Grilled Chicken Angara Tangdi, 1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Smoky Bbq Grilled Chicken",x grill chicken angara tangdi x grill chicken peri peri tangdi x bone smoki bbq grill chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Fried Chicken Angara Tender, 1 x AAC Special Slaw",x grill chicken jamaican tangdi x fri chicken angara tender x aac special slaw
"1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Salted Crisper Fries, 1 x AAC Special Slaw",x grill chicken smoki bbq tangdi x salt crisper fri x aac special slaw
"1 x Grilled Chicken Jamaican Tender, 2 x AAC Signature Crisper Fries, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Angara Tender",x grill chicken jamaican tender x aac signatur crisper fri x grill chicken peri peri tender x grill chicken smoki bbq tender x grill chicken angara tender
"1 x Bone in Kabuli Grilled Chicken, 1 x AAC Signature Crisper Fries",x bone kabuli grill chicken x aac signatur crisper fri
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Fried Chicken Angara Tender,x fri chicken angara tender
"1 x Salted Fries, 1 x Fried Chicken Kabuli Tender, 2 x Tipsy Tiger Ginger Ale, 1 x Fried Chicken Angara Tender",x salt fri x fri chicken kabuli tender x tipsi tiger ginger ale x fri chicken angara tender
"1 x GhostBuster Sauce, 1 x Bone in Jamaican Grilled Chicken",x ghostbust sauc x bone jamaican grill chicken
"1 x Tipsy Tiger Fresh Lime Soda, 1 x Fried Chicken Angara Tender",x tipsi tiger fresh lime soda x fri chicken angara tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Indian Pico De-Gallo",x bone jamaican grill chicken x indian pico degallo
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Animal Fries, 1 x Onion Bombs",x anim fri x onion bomb
"1 x AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signatur fri x bone jamaican grill chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Peri Peri Tender",x fri chicken peri peri tender x fri chicken peri peri tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken peri peri tender x grill chicken ghostbust tangdi x grill chicken smoki bbq tender
"1 x GhostBuster Sauce, 1 x Animal Fries, 1 x Jamaican Sauce, 1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x ghostbust sauc x anim fri x jamaican sauc x bone jamaican grill chicken x fri chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoki bbq grill chicken x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Jamaican Tender",x fri chicken ghostbust tender x grill chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grill chicken x salt fri
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone peri peri grill chicken x bone smoki bbq grill chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Angara Aloo Tuk Tuki",x fri chicken peri peri tender x grill chicken jamaican tender x angara aloo tuk tuki
"1 x Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x salt fri x bone jamaican grill chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken jamaican tender x grill chicken smoki bbq tender
1 x Grilled Chicken Angara Tender,x grill chicken angara tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken smoki bbq tangdi x grill chicken smoki bbq tender
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fri chicken peri peri tender x grill chicken jamaican tender
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Peri Peri Fries, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Angara Tender",x peri peri fri x fri chicken classic tender x fri chicken angara tender
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoki bbq grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x grill chicken jamaican tender x bone smoki bbq grill chicken
"1 x Smoky BBQ Sauce, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Angara Tender",x smoki bbq sauc x fri chicken peri peri tender x fri chicken angara tender
1 x Peri Peri Fries,x peri peri fri
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Peri Peri Fries, 1 x Grilled Chicken Jamaican Tangdi",x peri peri fri x grill chicken jamaican tangdi
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grill chicken smoki bbq tangdi
1 x Animal Fries,x anim fri
1 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grill chicken x bone peri peri grill chicken
"1 x Garlic Aioli, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x AAC Signature Fries, 1 x Jamaican Sauce",x garlic aioli x grill chicken ghostbust tangdi x aac signatur fri x jamaican sauc
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Salted Crisper Fries, 1 x Grilled Chicken Jamaican Tender",x salt crisper fri x grill chicken jamaican tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken jamaican tender x grill chicken smoki bbq tender
1 x Grilled Chicken Peri Peri Tender,x grill chicken peri peri tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
"1 x Garlic Aioli, 2 x Animal Fries, 1 x Harisa Mayo",x garlic aioli x anim fri x harisa mayo
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Salted Fries",x grill chicken angara tender x grill chicken smoki bbq tender x salt fri
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoki bbq grill chicken
"1 x AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signatur fri x bone jamaican grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grill chicken x bone peri peri grill chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Bone in Angara Grilled Chicken",x fri chicken ghostbust tender x bone angara grill chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grill chicken x bone jamaican grill chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoki bbq grill chicken x bone jamaican grill chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoki bbq grill chicken x bone jamaican grill chicken
"1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Angara Tender",x grill chicken angara tender x fri chicken angara tender
"2 x AAC Signature Fries, 2 x Garlic Aioli",x aac signatur fri x garlic aioli
"2 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",x grill chicken jamaican tender x grill chicken angara tender x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Animal Fries",x bone jamaican grill chicken x bone peri peri grill chicken x anim fri
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grill chicken x bone jamaican grill chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"2 x Grilled Chicken Smoky BBQ Tender, 2 x Grilled Chicken Ghostbuster Tangdi",x grill chicken smoki bbq tender x grill chicken ghostbust tangdi
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken angara tender x grill chicken smoki bbq tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken jamaican tender x grill chicken jamaican tender
2 x Angara Sauce,x angara sauc
"1 x AAC Grilled Paneer Burger, 1 x AAC Fried Paneer Burger",x aac grill paneer burger x aac fri paneer burger
"1 x Kabuli Grilled Paneer (8 pcs), 1 x Angara Grilled Paneer (8 pcs)",x kabuli grill paneer pc x angara grill paneer pc
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender, 1 x Onion Rings, 1 x Peri Peri Fries",x fri chicken ghostbust tender x fri chicken kabuli tender x fri chicken peri peri tender x fri chicken classic tender x onion ring x peri peri fri
"1 x Salted Fries, 2 x Fried Chicken Angara Tender, 1 x Peri Peri Fries",x salt fri x fri chicken angara tender x peri peri fri
"1 x Angara Rice, 2 x Animal Fries, 1 x Harisa Mayo",x angara rice x anim fri x harisa mayo
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone jamaican grill chicken x grill chicken jamaican tangdi
"1 x Animal Fries, 1 x Grilled Chicken Angara Tender, 1 x Indian Pico De-Gallo, 1 x India Dynamite sauce",x anim fri x grill chicken angara tender x indian pico degallo x india dynamit sauc
2 x Peri Peri Crisper Fries,x peri peri crisper fri
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender",x grill chicken jamaican tender x grill chicken angara tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Animal Fries,x anim fri
"1 x Animal Fries, 1 x Onion Bombs, 2 x Bone in Peri Peri Grilled Chicken",x anim fri x onion bomb x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone jamaican grill chicken x grill chicken jamaican tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x AAC Special Slaw, 1 x Bone in Peri Peri Grilled Chicken",x aac special slaw x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grill chicken x salt fri
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x grill chicken jamaican tender x bone angara grill chicken x bone jamaican grill chicken
1 x Salted Fries,x salt fri
1 x Animal Fries,x anim fri
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken jamaican tender x grill chicken smoki bbq tender
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
"1 x Onion Rings, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x onion ring x fri chicken classic tender x fri chicken peri peri tender
"1 x AAC Signature Crisper Fries, 1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Angara Tender",x aac signatur crisper fri x fri chicken kabuli tender x fri chicken angara tender
"1 x Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x salt fri x bone jamaican grill chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Onion Rings, 1 x Bone in Smoky Bbq Grilled Chicken",x onion ring x bone smoki bbq grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grill chicken x bone angara grill chicken
"1 x Animal Fries, 1 x Onion Bombs",x anim fri x onion bomb
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
1 x Grilled Chicken Angara Tender,x grill chicken angara tender
"1 x Angara Rice, 1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tender",x angara rice x grill chicken jamaican tender x grill chicken peri peri tender x grill chicken angara tender
"1 x Harisa Mayo, 1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x harisa mayo x grill chicken jamaican tender x grill chicken smoki bbq tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken jamaican tender x grill chicken jamaican tender
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Grilled Chicken Jamaican Tender,x grill chicken jamaican tender
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grill chicken peri peri tangdi x bone jamaican grill chicken
1 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Special Slaw",x bone jamaican grill chicken x aac special slaw
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender",x bone smoki bbq grill chicken x grill chicken smoki bbq tender
"1 x Fried Chicken Peri Peri Tender, 1 x Animal Fries",x fri chicken peri peri tender x anim fri
1 x Animal Fries,x anim fri
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Kabuli Grilled Chicken",x grill chicken smoki bbq tender x bone kabuli grill chicken
1 x Fried Chicken Classic Tender,x fri chicken classic tender
1 x Grilled Chicken Jamaican Tender,x grill chicken jamaican tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
2 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grill chicken x bone jamaican grill chicken
"2 x Bone in Jamaican Grilled Chicken, 3 x Bone in Peri Peri Grilled Chicken",x bone jamaican grill chicken x bone peri peri grill chicken
"2 x Fried Chicken Angara Tender, 2 x Animal Fries",x fri chicken angara tender x anim fri
"1 x Fried Chicken Ghostbuster Tender, 1 x AAC Signature Crisper Fries",x fri chicken ghostbust tender x aac signatur crisper fri
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x fri chicken angara tender x grill chicken jamaican tender
2 x Animal Fries,x anim fri
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",x grill chicken angara tender x grill chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grill chicken x fri chicken peri peri tender
"1 x Angara Sauce, 1 x Fried Chicken Classic Tender, 1 x Garlic Aioli, 1 x Jamaican Sauce, 1 x India Dynamite sauce, 1 x Grilled Chicken Jamaican Tender",x angara sauc x fri chicken classic tender x garlic aioli x jamaican sauc x india dynamit sauc x grill chicken jamaican tender
2 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x anim fri x bone jamaican grill chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken",x grill chicken smoki bbq tender x bone jamaican grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grill chicken x bone angara grill chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender",x grill chicken jamaican tender x fri chicken angara tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken peri peri tender x grill chicken smoki bbq tender
