Items in order
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi"
"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender"
1 x Bone in Peri Peri Grilled Chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)"
"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender"
"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken"
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Angara Grilled Chicken
"1 x Fried Chicken Angara Tender, 1 x Angara Rice"
1 x Grilled Chicken Peri Peri Tangdi
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Smoky Bbq Grilled Chicken
1 x Fried Chicken Peri Peri Tender
"2 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken"
1 x Bone in Angara Grilled Chicken
1 x Fried Chicken Peri Peri Tender
1 x Angara Aloo Tuk Tuki
1 x Grilled Chicken Peri Peri Tangdi
1 x Grilled Chicken Smoky BBQ Tender
1 x Grilled Chicken Smoky BBQ Tangdi
1 x Bone in Jamaican Grilled Chicken
"1 x Animal Fries, 1 x Salted Fries"
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Angara Tender"
1 x Bone in Kabuli Grilled Chicken
1 x Bone in Peri Peri Grilled Chicken
1 x Fried Chicken Peri Peri Tender
1 x Fried Chicken Peri Peri Tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
"1 x Jamaican Sauce, 2 x Grilled Chicken Jamaican Tender"
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries, 1 x Bone in Peri Peri Grilled Chicken"
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tenders + Salted Fries"
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Jamaican Grilled Chicken
1 x Fried Chicken Peri Peri Tender
1 x Bone in Kabuli Grilled Chicken
1 x Animal Fries
1 x AAC Signature Krispers
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries"
"1 x Angara Aloo Tuk Tuki, 1 x AAC Signature Fries"
1 x Animal Fries
1 x Grilled Chicken Jamaican Tender
"1 x Animal Fries, 1 x Grilled Chicken Smoky BBQ Tender"
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
1 x Bone in Jamaican Grilled Chicken
1 x Grilled Chicken Smoky BBQ Tender
1 x Fried Chicken Angara Tender
1 x Fried Chicken Peri Peri Tender
1 x Bone in Jamaican Grilled Chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender"
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken"
2 x Bone in Jamaican Grilled Chicken
2 x Bone in Kabuli Grilled Chicken
"1 x Fried Chicken Angara Tender, 1 x Salted Fries"
"1 x Fried Chicken Peri Peri Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Indian Pico De-Gallo"
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender"
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Classic Tender"
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
"1 x Fried Chicken Peri Peri Tender, 1 x AAC Saucy Fries"
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender"
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken"
2 x Bone in Peri Peri Grilled Chicken
2 x Bone in Peri Peri Grilled Chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken"
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender"
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender"
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Peri Peri Tender"
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender"
"1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Classic Tender"
"2 x Grilled Chicken Smoky BBQ Tangdi, 1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tender"
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken"
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender"
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Grilled Chicken Ghostbuster Tangdi"
"2 x Bone in Peri Peri Grilled Chicken, 2 x Garlic Aioli"
2 x Bone in Jamaican Grilled Chicken
"2 x India Dynamite sauce, 2 x Bone in Angara Grilled Chicken, 1 x AAC Special Slaw"
2 x Bone in Jamaican Grilled Chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Animal Fries"
"2 x Grilled Chicken Peri Peri Tender, 2 x Salted Krispers"
"1 x Cafreal dip, 1 x Indian Pico De-Gallo, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken"
2 x Bone in Jamaican Grilled Chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken"
"1 x Animal Fries, 1 x Bone in Smoky Bbq Grilled Chicken"
"1 x Animal Fries, 1 x Grilled Chicken Jamaican Tender"
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Ghostbuster Tender"
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken"
2 x Bone in Smoky Bbq Grilled Chicken
1 x Fried Chicken Angara Tender
"2 x Bone in Jamaican Grilled Chicken, 2 x Grilled Chicken Angara Tender, 2 x Grilled Chicken Jamaican Tender"
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender"
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken"
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken"
1 x Bone in Smoky Bbq Grilled Chicken
"1 x Fried Chicken Angara Tender, 1 x Bone in Smoky Bbq Grilled Chicken"
1 x Grilled Chicken Jamaican Tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tender"
1 x Animal Fries
1 x Grilled Chicken Angara Tangdi
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Peri Peri Grilled Chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries"
1 x Bone in Jamaican Grilled Chicken
1 x Bone in Peri Peri Grilled Chicken
1 x Grilled Chicken Angara Tender
1 x Fried Chicken Peri Peri Tender
